id,flux
R_EX_amet_e@iMM904,0.0
R_EX_arab__D_e@iMM904,0.0
R_EX_arab__L_e@iMM904,0.0
R_EX_arg__L_e@iMM904,0.0
R_EX_asn__L_e@iMM904,0.0
R_EX_asp__L_e@iMM904,0.0
R_EX_btd_RR_e@iMM904,0.0
R_EX_btn_e@iMM904,0.0
R_EX_chol_e@iMM904,0.0
R_EX_cit_e@iMM904,0.0
R_EX_co2_e@iMM904,9.502219896119922
R_EX_crn_e@iMM904,0.0
R_EX_csn_e@iMM904,0.0
R_EX_cys__L_e@iMM904,0.0
R_EX_cytd_e@iMM904,0.0
R_EX_dad_2_e@iMM904,0.0
R_EX_dann_e@iMM904,0.0
R_EX_dca_e@iMM904,0.0
R_EX_dcyt_e@iMM904,0.0
R_EX_ddca_e@iMM904,0.0
R_EX_dgsn_e@iMM904,0.0
R_EX_din_e@iMM904,0.0
R_EX_dttp_e@iMM904,0.0
R_EX_duri_e@iMM904,0.0
R_EX_epist_e@iMM904,0.0
R_EX_epistest_SC_e@iMM904,0.0
R_EX_ergst_e@iMM904,0.0
R_EX_ergstest_SC_e@iMM904,0.0
R_EX_etha_e@iMM904,0.0
R_EX_etoh_e@iMM904,7.388107048968547
R_EX_fe2_e@iMM904,0.0
R_EX_fecost_e@iMM904,0.0
R_EX_fecostest_SC_e@iMM904,0.0
R_EX_fmn_e@iMM904,0.0
R_EX_for_e@iMM904,0.0
R_EX_fru_e@iMM904,0.0
R_EX_fum_e@iMM904,0.0
R_EX_g3pc_e@iMM904,0.0
R_EX_g3pi_e@iMM904,0.0
R_EX_gal_e@iMM904,0.0
R_EX_galur_e@iMM904,0.0
R_EX_gam6p_e@iMM904,0.0
R_EX_gcald_e@iMM904,0.0
R_EX_glc__D_e@iMM904,-5.0
R_EX_gln__L_e@iMM904,0.0
R_EX_glu__L_e@iMM904,0.0
R_EX_glx_e@iMM904,0.0
R_EX_gly_e@iMM904,0.0
R_EX_glyc_e@iMM904,0.0
R_EX_gsn_e@iMM904,0.0
R_EX_gthox_e@iMM904,0.0
R_EX_gthrd_e@iMM904,0.0
R_EX_gua_e@iMM904,0.0
R_EX_h2o_e@iMM904,4.013570249951735
R_EX_h_e@iMM904,0.8007622783886982
R_EX_hdca_e@iMM904,0.0
R_EX_hdcea_e@iMM904,0.0
R_EX_hexc_e@iMM904,0.0
R_EX_his__L_e@iMM904,0.0
R_EX_hxan_e@iMM904,0.0
R_EX_iamac_e@iMM904,0.0
R_EX_iamoh_e@iMM904,0.0
R_EX_ibutac_e@iMM904,0.0
R_EX_ibutoh_e@iMM904,0.0
R_EX_id3acald_e@iMM904,0.0
R_EX_ile__L_e@iMM904,0.0
R_EX_ind3eth_e@iMM904,0.0
R_EX_inost_e@iMM904,0.0
R_EX_ins_e@iMM904,0.0
R_EX_k_e@iMM904,0.0
R_EX_lac__D_e@iMM904,0.0
R_EX_lac__L_e@iMM904,0.0
R_EX_lanost_e@iMM904,0.0
R_EX_lanostest_SC_e@iMM904,0.0
R_EX_leu__L_e@iMM904,0.0
R_EX_lys__L_e@iMM904,0.0
R_EX_mal__L_e@iMM904,0.0
R_EX_malt_e@iMM904,0.0
R_EX_man_e@iMM904,0.0
R_EX_melib_e@iMM904,0.0
R_EX_met__L_e@iMM904,0.0
R_EX_mmet_e@iMM904,0.0
R_EX_na1_e@iMM904,0.0
R_EX_nac_e@iMM904,0.0
R_EX_nadp_e@iMM904,0.0
R_EX_nh4_e@iMM904,-0.890893343798883
R_EX_nmn_e@iMM904,0.0
R_EX_o2_e@iMM904,-2.0
R_EX_oaa_e@iMM904,0.0
R_EX_ocdca_e@iMM904,0.0
R_EX_ocdcea_e@iMM904,0.0
R_EX_ocdcya_e@iMM904,0.0
R_EX_orn_e@iMM904,0.0
R_EX_pacald_e@iMM904,0.0
R_EX_pap_e@iMM904,0.0
R_EX_pc_SC_e@iMM904,0.0
R_EX_pectin_e@iMM904,0.0
R_EX_pepd_e@iMM904,0.0
R_EX_phe__L_e@iMM904,0.0
R_EX_pheac_e@iMM904,0.0
R_EX_pi_e@iMM904,-0.031471611352366785
R_EX_pnto__R_e@iMM904,0.0
R_EX_pro__L_e@iMM904,0.0
R_EX_ptd1ino_SC_e@iMM904,0.0
R_EX_ptrc_e@iMM904,0.0
R_EX_pyr_e@iMM904,0.0
R_EX_rib__D_e@iMM904,0.0
R_EX_ribflv_e@iMM904,0.0
R_EX_sbt__D_e@iMM904,0.0
R_EX_sbt__L_e@iMM904,0.0
R_EX_ser__L_e@iMM904,0.0
R_EX_so3_e@iMM904,0.0
R_EX_so4_e@iMM904,-0.012305288606664449
R_EX_spmd_e@iMM904,0.0
R_EX_sprm_e@iMM904,0.0
R_EX_srb__L_e@iMM904,0.0
R_EX_succ_e@iMM904,0.0
R_EX_sucr_e@iMM904,0.0
R_EX_taur_e@iMM904,0.0
R_EX_thm_e@iMM904,0.0
R_EX_thmmp_e@iMM904,0.0
R_EX_thmpp_e@iMM904,0.0
R_EX_thr__L_e@iMM904,0.0
R_EX_thym_e@iMM904,0.0
R_EX_thymd_e@iMM904,0.0
R_EX_tre_e@iMM904,0.0
R_EX_trp__L_e@iMM904,0.0
R_EX_ttdca_e@iMM904,0.0
R_EX_tyr__L_e@iMM904,0.0
R_EX_ura_e@iMM904,0.0
R_EX_urea_e@iMM904,0.0
R_EX_uri_e@iMM904,0.0
R_EX_val__L_e@iMM904,0.0
R_EX_xan_e@iMM904,0.0
R_EX_xtsn_e@iMM904,0.0
R_EX_xyl__D_e@iMM904,0.0
R_EX_xylt_e@iMM904,0.0
R_EX_zymst_e@iMM904,0.0
R_EX_zymstest_SC_e@iMM904,0.0
R_FA100tp@iMM904,0.0
R_FA120ACPHi@iMM904,0.0
R_FA120ACPtm@iMM904,0.0
R_FA120tp@iMM904,0.0
R_FA140ACPHi@iMM904,0.0
R_FA140ACPtm@iMM904,0.0
R_FA140COAabcp@iMM904,0.0
R_FA140tp@iMM904,0.0
R_FA141ACPHi@iMM904,0.0
R_FA141ACPtm@iMM904,0.0
R_FA141COAabcp@iMM904,0.0
R_FA141tp@iMM904,0.0
